404-00###SISTEMA SHYAM###Rajasthan###~~text~~, ~~number~~, ~~date~~
404-01###Vodafone###Haryana###~~text~~, ~~number~~, ~~date~~
404-02###Airtel ###Punjab###~~text~~, ~~number~~, ~~date~~
404-03###Airtel ###Himachal Pradesh###~~text~~, ~~number~~, ~~date~~
404-04###Idea###Delhi###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
404-05###Vodafone###Gujarat###~~text~~, ~~number~~, ~~date~~
404-07###Idea###Andhra Pradesh###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
404-09###Reliance Telecom###Assam###~~text~~, ~~number~~, ~~date~~
404-10###Airtel ###Delhi###~~text~~, ~~number~~, ~~date~~
404-11###Vodafone###Delhi###~~text~~, ~~number~~, ~~date~~
404-12###Idea###Haryana###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
404-13###Vodafone###Andhra Pradesh###~~text~~, ~~number~~, ~~date~~
404-14###IDEA###Punjab###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
404-15###Vodafone###Uttar Pradesh (East)###~~text~~, ~~number~~, ~~date~~
404-16###Airtel ###North East###~~text~~, ~~number~~, ~~date~~
404-17###Aircel###West Bengal###~~text~~, ~~number~~, ~~date~~
404-18###Reliance Telecom###Himachal Pradesh###~~text~~, ~~number~~, ~~date~~
404-19###IDEA###Kerala###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
404-20###Vodafone###Mumbai###~~text~~, ~~number~~, ~~date~~
404-21###LOOP###Mumbai###~~text~~, ~~number~~, ~~date~~
404-22###IDEA###Maharashtra###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
404-24###IDEA###Gujarat###COMP TEL NO ~~number~~;~~datetime~~;~~text~~
404-25###Aircel###Bihar###~~text~~, ~~number~~, ~~date~~
404-27###Vodafone###Maharashtra###~~text~~, ~~number~~, ~~date~~
404-28###Aircel###Orissa###~~text~~, ~~number~~, ~~date~~
404-29###Aircel###Assam###~~text~~, ~~number~~, ~~date~~
